a52dec 0.7.4-8
abiword 3.0.1-5
acl 2.2.52-2
acpi 1.7-1
adobe-source-code-pro-fonts 2.010ro+1.030it-1
adwaita-icon-theme 3.20-1
aiksaurus 1.2.1-5
alsa-lib 1.1.1-1
alsa-plugins 1.1.1-1
alsa-utils 1.1.1-1
archey3 0.5-4
archlinux-keyring 20160402-1
aspell 0.60.6.1-4
at-spi2-atk 2.20.1-1
at-spi2-core 2.20.1-1
atk 2.20.0-1
atkmm 2.24.2-2
attr 2.4.47-1
autoconf 2.69-2
automake 1.15-1
avahi 0.6.32-2
babl 0.1.14-1
bash 4.3.042-4
binutils 2.26-3
bison 3.0.4-1
blockify 3.6.1-1
boost-libs 1.60.0-4
bzip2 1.0.6-5
ca-certificates 20150402-1
ca-certificates-cacert 20140824-2
ca-certificates-mozilla 3.23-3
ca-certificates-utils 20150402-1
cairo-infinality-ultimate 1.14.6-1
cairomm 1.12.0-2
cantarell-fonts 1:0.0.24-1
cdparanoia 10.2-5
celt 0.11.3-2
chromaprint 1.3.1-1
colord 1.3.2-1
compositeproto 0.4.2-3
confuse 2.8-2
coreutils 8.25-1
cracklib 2.9.6-1
cryptsetup 1.7.1-1
curl 7.48.0-1
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.8-1
dbus-glib 0.106-1
dcadec 0.2.0-1
dconf 0.26.0-1
desktop-file-utils 0.22-1
device-mapper 2.02.149-1
dhclient 4.3.4-1
dhcpcd 6.10.2-1
dialog 1:1.3_20160209-1
diffutils 3.3-2
djvulibre 3.5.27-2
dmenu 4.6-1
docbook-xml 4.5-6
docbook-xsl 1.79.1-1
dotconf 1.3-4
e2fsprogs 1.42.13-1
elfutils 0.166-1
emacs 24.5-2
enchant 1.6.0-7
ethtool 1:4.2-1
evince 3.20.0-1
exo 0.10.7-1
expat 2.1.1-1
faac 1.28-5
faad2 2.7-4
fakeroot 1.20.2-1
feh 2.15.2-1
ffmpeg 1:3.0.1-1
ffmpeg2.8 2.8.6-1
fftw 3.3.4-1
file 5.26-1
filesystem 2015.09-1
findutils 4.6.0-1
fixesproto 5.0-3
flac 1.3.1-3
flex 2.6.0-2
fluidsynth 1.1.6-4
fontconfig-infinality-ultimate 2.11.95-4
fontsproto 2.1.3-1
freetype2-infinality-ultimate 2.6.3-3
fribidi 0.19.7-1
fuse 2.9.5-1
gawk 4.1.3-1
gc 7.4.2-4
gcc-libs-multilib 5.3.0-5
gcc-multilib 5.3.0-5
gconf 3.2.6-3
gcr 3.20.0-1
gd 2.1.1-3
gdbm 1.11-1
gdk-pixbuf2 2.34.0-1
gdome2 0.8.1-5
gegl02 0.2.0-4
geoclue2 2.4.3-1
gettext 0.19.7-1
ghostscript 9.19-1
giblib 1.2.4-6
giflib 5.1.2-1
gimp 2.8.16-1
git 2.8.0-1
glib-networking 2.48.0-1
glib2 2.48.0-1
glibc 2.23-1
glibmm 2.48.1-1
glu 9.0.0-4
gmetadom 0.2.6-5
gmp 6.1.0-3
gnome-desktop 1:3.20.1-1
gnome-themes-standard 3.20-1
gnupg 2.1.11-1
gnutls 3.4.11-1
gobject-introspection 1.48.0-1
gobject-introspection-runtime 1.48.0-1
goffice 0.10.27-1
google-chrome 50.0.2661.86-1
gperf 3.0.4-6
gpgme 1.6.0-2
gpm 1.20.7-6
graphene 1.2.10-1
graphite 1:1.3.8-1
grep 2.24-1
groff 1.22.3-6
grub 1:2.02.beta2-6
gsettings-desktop-schemas 3.20.0-1
gsfonts 20150811-1
gsm 1.0.14-1
gst-plugins-base 1.8.1-1
gst-plugins-base-libs 1.8.1-1
gst-python 1.8.1-1
gstreamer 1.8.1-1
gtk-chtheme 0.3.1-8
gtk-doc 1.25-1
gtk-engine-murrine 0.98.2-2
gtk-theme-config 1.0-1
gtk-update-icon-cache 3.20.3-1
gtk2 2.24.30-1
gtk3 3.20.3-1
gtkmathview 0.8.0-5
gtkmm3 3.20.1-1
guile 2.0.11-3
gvfs 1.28.1-1
gvfs-afc 1.28.1-1
gvfs-mtp 1.28.1-1
gzip 1.7-1
harfbuzz 1.2.6-1
harfbuzz-icu 1.2.6-1
help2man 1.47.3-1
hexchat 2.12.0-1
hicolor-icon-theme 0.15-1
hspell 1.3-1
hunspell 1.3.4-1
hwids 20160306-1
hyphen 2.8.8-1
i3-wm 4.12-1
i3lock 2.7-1
i3status 2.10-1
iana-etc 20160314-1
icu 57.1-1
ilmbase 2.2.0-2
imagemagick 6.9.3.8-1
imlib2 1.4.8-1
inetutils 1.9.4-2
inputproto 2.3.2-1
intel-ucode 20151106-1
intltool 0.51.0-1
iproute2 4.5.0-2
iptables 1.6.0-1
iputils 20160308.0db72a4-1
iso-codes 3.67-1
itstool 2.0.2-1
iw 4.3-1
jack 0.124.1-6
jansson 2.7-1
jasper 1.900.1-14
jfsutils 1.1.15-4
js17 17.0.0-3
json-c 0.12-2
json-glib 1.2.0-1
kbd 2.0.3-1
kbproto 1.0.7-1
keyutils 1.5.9-1
kmod 22-1
krb5 1.13.2-3
lame 3.99.5-3
lasem 0.4.3-2
lcms 1.19-5
lcms2 2.7-1
less 481-2
lib32-acl 2.2.52-2
lib32-alsa-lib 1.1.1-1
lib32-alsa-plugins 1.1.0-1
lib32-at-spi2-atk 2.20.1-1
lib32-at-spi2-core 2.20.1-1
lib32-atk 2.20.0-1
lib32-attr 2.4.47-1
lib32-bzip2 1.0.6-2
lib32-cairo 1.14.6-2
lib32-colord 1.3.2-1
lib32-cracklib 2.9.4-1
lib32-curl 7.48.0-1
lib32-dbus-glib 0.106-1
lib32-dconf 0.26.0-1
lib32-e2fsprogs 1.42.13-1
lib32-elfutils 0.165-1
lib32-expat 2.1.1-1
lib32-flac 1.3.1-2
lib32-fontconfig 2.11.95-1
lib32-freetype2 2.6.3-1
lib32-gcc-libs 5.3.0-5
lib32-gconf 3.2.6-1
lib32-gdk-pixbuf2 2.34.0-1
lib32-glew1.10 1.10.0-2
lib32-glib-networking 2.48.0-2
lib32-glib2 2.48.0-1
lib32-glibc 2.23-1
lib32-glu 9.0.0-3
lib32-gmp 6.1.0-2
lib32-gnutls 3.4.11-1
lib32-gtk2 2.24.30-1
lib32-gtk3 3.20.3-1
lib32-harfbuzz 1.2.6-1
lib32-icu 57.1-1
lib32-jansson 2.7-2
lib32-js17 17.0.0-5
lib32-json-c 0.12-1
lib32-json-glib 1.2.0-1
lib32-keyutils 1.5.9-1
lib32-kmod 22-1
lib32-krb5 1.13.2-3
lib32-lcms2 2.7-1
lib32-libasyncns 0.8-7
lib32-libcap 2.25-1
lib32-libcroco 0.6.11-1
lib32-libcups 2.1.3-1
lib32-libdaemon 0.14-4
lib32-libdatrie 0.2.10-1
lib32-libdbus 1.10.8-1
lib32-libdrm 2.4.67-1
lib32-libepoxy 1.3.1-3
lib32-libffi 3.2.1-1
lib32-libgcrypt 1.7.0-1
lib32-libgcrypt15 1.5.4-1
lib32-libgnutls28 3.3.19-1
lib32-libgpg-error 1.21-1
lib32-libgudev 230-1
lib32-libgusb 0.2.9-2
lib32-libice 1.0.9-1
lib32-libidn 1.32-1
lib32-libjpeg-turbo 1.4.2-1
lib32-libjpeg6-turbo 1.4.2-1
lib32-libldap 2.4.44-1
lib32-libmbim 1.12.4-1
lib32-libmm-glib 1.4.8-1
lib32-libndp 1.5-1
lib32-libnewt 0.52.18-1
lib32-libnl 3.2.27-1
lib32-libnm-glib46 0.9.8.10-2
lib32-libogg 1.3.2-1
lib32-libpciaccess 0.13.4-1
lib32-libpng 1.6.21-1
lib32-libpng12 1.2.56-2
lib32-libproxy 0.4.12-1
lib32-libpulse 8.0-1
lib32-libqmi 1.12.6-1
lib32-librsvg 2.40.15-1
lib32-libsm 1.2.2-1
lib32-libsndfile 1.0.26-1
lib32-libsoup 2.54.0.1-1
lib32-libssh2 1.7.0-2
lib32-libtasn1 4.8-1
lib32-libteam 1.23-1
lib32-libthai 0.1.24-1
lib32-libtiff 4.0.6-2
lib32-libtirpc 1.0.1-1
lib32-libtxc_dxtn 1.0.1-5
lib32-libudev.so.0 0.1-1
lib32-libusb 1.0.20-1
lib32-libvorbis 1.3.5-1
lib32-libvpx 1.5.0-1
lib32-libx11 1.6.3-1
lib32-libxau 1.0.8-1
lib32-libxcb 1.11.1-1
lib32-libxcomposite 0.4.4-2
lib32-libxcursor 1.1.14-1
lib32-libxdamage 1.1.4-2
lib32-libxdmcp 1.1.2-1
lib32-libxext 1.3.3-1
lib32-libxfixes 5.0.1-1
lib32-libxft 2.3.2-1
lib32-libxi 1.7.6-1
lib32-libxinerama 1.1.3-1
lib32-libxkbcommon 0.6.1-1
